Date,Price,Open,High,Low,Change %
Aug 85,1.8117,1.8117,1.8117,1.8117,0.42%
Jul 85,1.8042,1.8042,1.8042,1.8042,-3.42%
Jun 85,1.8681,1.8681,1.8681,1.8681,-0.33%
May 85,1.8743,1.8743,1.8743,1.8743,0.49%
Apr 85,1.8652,1.8652,1.8652,1.8652,-0.49%
Mar 85,1.8743,1.8743,1.8743,1.8743,-1.91%
Feb 85,1.9108,1.9108,1.9108,1.9108,0.92%
Jan 85,1.8934,1.8934,1.8934,1.8934,2.32%
Dec 84,1.8504,1.8504,1.8504,1.8504,0.21%
Nov 84,1.8465,1.8465,1.8465,1.8465,0.61%
Oct 84,1.8353,1.8353,1.8353,1.8353,-0.78%
Sep 84,1.8498,1.8498,1.8498,1.8498,-0.76%
Aug 84,1.8640,1.8640,1.8640,1.8640,-2.59%
Jul 84,1.9135,1.9135,1.9135,1.9135,2.23%
Jun 84,1.8718,1.8718,1.8718,1.8718,1.29%
May 84,1.8480,1.8480,1.8480,1.8480,0.10%
Apr 84,1.8462,1.8462,1.8462,1.8462,-0.08%
Mar 84,1.8477,1.8477,1.8477,1.8477,-0.60%
Feb 84,1.8588,1.8588,1.8588,1.8588,3.69%
Jan 84,1.7927,1.7927,1.7927,1.7927,0.02%
Dec 83,1.7924,1.7924,1.7924,1.7924,-0.39%
Nov 83,1.7994,1.7994,1.7994,1.7994,-1.51%
Oct 83,1.8269,1.8269,1.8269,1.8269,1.05%
Sep 83,1.8079,1.8079,1.8079,1.8079,-1.34%
Aug 83,1.8325,1.8325,1.8325,1.8325,0.25%
Jul 83,1.8280,1.8280,1.8280,1.8280,-2.40%
Jun 83,1.8729,1.8729,1.8729,1.8729,-0.69%
May 83,1.8860,1.8860,1.8860,1.8860,-1.41%
Apr 83,1.9130,1.9130,1.9130,1.9130,-1.83%
Mar 83,1.9487,1.9487,1.9487,1.9487,-0.82%
Feb 83,1.9649,1.9649,1.9649,1.9649,2.96%
Jan 83,1.9084,1.9084,1.9084,1.9084,-2.56%
Dec 82,1.9585,1.9585,1.9585,1.9585,-2.00%
Nov 82,1.9985,1.9985,1.9985,1.9985,-1.67%
Oct 82,2.0324,2.0324,2.0324,2.0324,-0.20%
Sep 82,2.0364,2.0364,2.0364,2.0364,0.56%
Aug 82,2.0251,2.0251,2.0251,2.0251,-0.37%
Jul 82,2.0326,2.0326,2.0326,2.0326,-0.32%
Jun 82,2.0392,2.0392,2.0392,2.0392,-1.26%
May 82,2.0652,2.0652,2.0652,2.0652,1.47%
Apr 82,2.0353,2.0353,2.0353,2.0353,4.14%
Mar 82,1.9544,1.9544,1.9544,1.9544,-0.31%
Feb 82,1.9605,1.9605,1.9605,1.9605,-1.62%
Jan 82,1.9927,1.9927,1.9927,1.9927,0.44%
Dec 81,1.9839,1.9839,1.9839,1.9839,-0.42%
Nov 81,1.9923,1.9923,1.9923,1.9923,-2.70%
Oct 81,2.0476,2.0476,2.0476,2.0476,-5.25%
Sep 81,2.1610,2.1610,2.1610,2.1610,-2.88%
Aug 81,2.2250,2.2250,2.2250,2.2250,-0.12%
Jul 81,2.2277,2.2277,2.2277,2.2277,1.94%
Jun 81,2.1853,2.1853,2.1853,2.1853,-4.34%
May 81,2.2845,2.2845,2.2845,2.2845,-2.49%
Apr 81,2.3428,2.3428,2.3428,2.3428,0.18%
Mar 81,2.3387,2.3387,2.3387,2.3387,-1.57%
Feb 81,2.3761,2.3761,2.3761,2.3761,0.03%
Jan 81,2.3753,2.3753,2.3753,2.3753,0.52%
Dec 80,2.3630,2.3630,2.3630,2.3630,0.54%
Nov 80,2.3502,2.3502,2.3502,2.3502,0.07%
Oct 80,2.3485,2.3485,2.3485,2.3485,-0.89%
Sep 80,2.3696,2.3696,2.3696,2.3696,-0.81%
Aug 80,2.3889,2.3889,2.3889,2.3889,-0.70%
Jul 80,2.4057,2.4057,2.4057,2.4057,0.15%
Jun 80,2.4020,2.4020,2.4020,2.4020,-0.84%
May 80,2.4224,2.4224,2.4224,2.4224,0.73%
Apr 80,2.4048,2.4048,2.4048,2.4048,-3.59%
Mar 80,2.4943,2.4943,2.4943,2.4943,-0.29%
Feb 80,2.5015,2.5015,2.5015,2.5015,2.69%
Jan 80,2.4359,2.4359,2.4359,2.4359,1.20%
Dec 79,2.4069,2.4069,2.4069,2.4069,0.27%
Nov 79,2.4004,2.4004,2.4004,2.4004,-0.13%
Oct 79,2.4036,2.4036,2.4036,2.4036,3.64%
Sep 79,2.3191,2.3191,2.3191,2.3191,-2.95%
Aug 79,2.3895,2.3895,2.3895,2.3895,0.21%
Jul 79,2.3844,2.3844,2.3844,2.3844,0.52%
Jun 79,2.3720,2.3720,2.3720,2.3720,-0.74%
May 79,2.3897,2.3897,2.3897,2.3897,-0.78%
Apr 79,2.4085,2.4085,2.4085,2.4085,0.26%
Mar 79,2.4022,2.4022,2.4022,2.4022,1.23%
Feb 79,2.3729,2.3729,2.3729,2.3729,-1.17%
Jan 79,2.4009,2.4009,2.4009,2.4009,2.84%
Dec 78,2.3345,2.3345,2.3345,2.3345,-2.08%
Nov 78,2.3841,2.3841,2.3841,2.3841,5.99%
Oct 78,2.2494,2.2494,2.2494,2.2494,4.95%
Sep 78,2.1433,2.1433,2.1433,2.1433,-3.86%
Aug 78,2.2293,2.2293,2.2293,2.2293,-3.87%
Jul 78,2.3190,2.3190,2.3190,2.3190,-4.12%
Jun 78,2.4186,2.4186,2.4186,2.4186,-1.24%
May 78,2.4489,2.4489,2.4489,2.4489,-2.69%
Apr 78,2.5166,2.5166,2.5166,2.5166,2.94%
Mar 78,2.4448,2.4448,2.4448,2.4448,0.91%
Feb 78,2.4228,2.4228,2.4228,2.4228,-4.68%
Jan 78,2.5417,2.5417,2.5417,2.5417,-0.55%
Dec 77,2.5558,2.5558,2.5558,2.5558,-4.15%
Nov 77,2.6665,2.6665,2.6665,2.6665,-2.72%
Oct 77,2.7410,2.7410,2.7410,2.7410,-3.15%
Sep 77,2.8301,2.8301,2.8301,2.8301,-1.92%
Aug 77,2.8856,2.8856,2.8856,2.8856,-1.28%
Jul 77,2.9231,2.9231,2.9231,2.9231,-2.31%
Jun 77,2.9922,2.9922,2.9922,2.9922,-1.30%
May 77,3.0315,3.0315,3.0315,3.0315,-0.47%
Apr 77,3.0459,3.0459,3.0459,3.0459,-0.37%
Mar 77,3.0572,3.0572,3.0572,3.0572,-0.66%
Feb 77,3.0774,3.0774,3.0774,3.0774,2.31%
Jan 77,3.0079,3.0079,3.0079,3.0079,1.08%
Dec 76,2.9758,2.9758,2.9758,2.9758,1.16%
Nov 76,2.9418,2.9418,2.9418,2.9418,0.47%
Oct 76,2.9279,2.9279,2.9279,2.9279,-0.06%
Sep 76,2.9298,2.9298,2.9298,2.9298,0.18%
Aug 76,2.9245,2.9245,2.9245,2.9245,0.29%
Jul 76,2.9159,2.9159,2.9159,2.9159,0.50%
Jun 76,2.9014,2.9014,2.9014,2.9014,0.64%
May 76,2.8829,2.8829,2.8829,2.8829,-2.88%
Apr 76,2.9684,2.9684,2.9684,2.9684,-1.80%
Mar 76,3.0229,3.0229,3.0229,3.0229,-2.97%
Feb 76,3.1154,3.1154,3.1154,3.1154,-2.08%
Jan 76,3.1817,3.1817,3.1817,3.1817,-1.74%
